epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
86,0.53125,0.71865493,0.7208333611488342,0.5980428457260132,0.7891891891891892,0.8390804597701149,0.8133704735376045,0.798687089715536,146,39,28,27,0.7099999785423279,0.6156799793243408,0.7692307692307693,0.8450704225352113,0.8053691275167785,0.783289817232376,180,54,33,33
87,0.59375,0.67210186,0.7250000238418579,0.5949530005455017,0.7872340425531915,0.8505747126436781,0.8176795580110497,0.7991360691144709,148,40,26,26,0.7099999785423279,0.6125200986862183,0.7669491525423728,0.8497652582159625,0.8062360801781737,0.7821953327571305,181,55,32,32
88,0.65625,0.6645151,0.7083333134651184,0.6083719730377197,0.7988505747126436,0.7988505747126436,0.7988505747126436,0.7988505747126436,139,35,35,31,0.70333331823349,0.6235228180885315,0.7719298245614035,0.8262910798122066,0.7981859410430839,0.782222222222222,176,52,37,35
89,0.59375,0.6769352,0.6000000238418579,0.670027494430542,0.8095238095238095,0.5862068965517241,0.68,0.7522123893805308,102,24,72,42,0.596666693687439,0.676851212978363,0.7804878048780488,0.6009389671361502,0.6790450928381964,0.7364787111622555,128,36,85,51
90,0.5625,0.6701059,0.512499988079071,0.7456498742103577,0.8131868131868132,0.42528735632183906,0.5584905660377357,0.6877323420074349,74,17,100,49,0.5166666507720947,0.7464418411254883,0.8035714285714286,0.4225352112676056,0.5538461538461539,0.6807866868381242,90,22,123,65
91,0.671875,0.5950941,0.4208333194255829,0.8199657201766968,0.8070175438596491,0.26436781609195403,0.3982683982683983,0.5721393034825871,46,11,128,55,0.4533333480358124,0.8148388862609863,0.8356164383561644,0.2863849765258216,0.42657342657342656,0.603960396039604,61,12,152,75
92,0.546875,0.7413847,0.4124999940395355,0.8237665891647339,0.8,0.25287356321839083,0.38427947598253276,0.5583756345177665,44,11,130,55,0.44333332777023315,0.8173495531082153,0.8285714285714286,0.27230046948356806,0.40989399293286216,0.5882352941176472,58,12,155,75
93,0.625,0.6764989,0.512499988079071,0.7545264959335327,0.8131868131868132,0.42528735632183906,0.5584905660377357,0.6877323420074349,74,17,100,49,0.503333330154419,0.7511901259422302,0.7962962962962963,0.40375586854460094,0.5358255451713395,0.6666666666666667,86,22,127,65
94,0.609375,0.65519214,0.5375000238418579,0.7086155414581299,0.794392523364486,0.4885057471264368,0.6049822064056939,0.7059800664451829,85,22,89,44,0.5533333420753479,0.7089404463768005,0.7724137931034483,0.5258215962441315,0.6256983240223464,0.7061790668348045,112,33,101,54
95,0.609375,0.6591923,0.6583333611488342,0.6358107924461365,0.7875,0.7241379310344828,0.7544910179640718,0.7739557739557739,126,34,48,32,0.653333306312561,0.6439030766487122,0.7711442786069652,0.7276995305164319,0.748792270531401,0.7620452310717797,155,46,58,41
96,0.671875,0.6188874,0.6791666746139526,0.6090336441993713,0.770949720670391,0.7931034482758621,0.7818696883852692,0.7752808988764045,138,41,36,25,0.6800000071525574,0.6226267218589783,0.7532467532467533,0.8169014084507042,0.7837837837837838,0.7651715039577837,174,57,39,30
97,0.546875,0.69552577,0.6791666746139526,0.6059633493423462,0.7679558011049724,0.7988505747126436,0.7830985915492958,0.7739420935412027,139,42,35,24,0.6899999976158142,0.6200394630432129,0.7586206896551724,0.8262910798122066,0.7910112359550561,0.77125328659071,176,56,37,31
98,0.59375,0.6694619,0.6791666746139526,0.6180263161659241,0.7740112994350282,0.7873563218390804,0.7806267806267806,0.7766439909297053,137,40,37,26,0.6866666674613953,0.629226565361023,0.7644444444444445,0.8075117370892019,0.7853881278538812,0.7726864330637916,172,53,41,34
99,0.625,0.6274617,0.612500011920929,0.6555987596511841,0.7612903225806451,0.6781609195402298,0.7173252279635257,0.743073047858942,118,37,56,29,0.6433333158493042,0.6599672436714172,0.7731958762886598,0.704225352112676,0.7371007371007371,0.7583417593528817,150,44,63,43
